metric,value
duration_ms,30003
requests_total,24763
success_total,24759
failed_total,4
avg_latency_ms,6.672
p50_latency_ms,5.752
p95_latency_ms,12.621
p99_latency_ms,22.436
batch_size,5

second,success,failed,overall_rps
1,800,1,799.924
2,782,0,791.352
3,842,2,808.962
4,787,0,803.490
5,804,0,803.394
6,823,0,806.784
7,839,0,811.384
8,835,0,814.333
9,846,0,817.819
10,830,0,819.099
11,816,1,818.906
12,846,0,821.071
13,817,0,820.839
14,825,0,821.137
15,821,0,821.115
16,830,0,821.663
17,817,0,821.391
18,817,0,821.122
19,834,0,821.815
20,827,0,822.098
21,829,0,822.397
22,854,0,823.858
23,840,0,824.550
24,854,0,825.766
25,813,0,825.265
26,801,0,824.330
27,843,0,825.024
28,835,0,825.380
29,829,0,825.477
